English	Inglés
German	Alemán
Chinese	Chino
French	Francés
Italian	Italiano
Spanish	Español
Russian	Ruso
Korean	Coreano
Polish	Polaco
Japanese	Japonés

1089572441	Seleccionar personaje
326908463	Cancelar selección de personaje
1593035469	Seleccionar todos los personajes
720952508	Cancelar selección de todos los personajes
8814543	Usar
1707401394	Coger
1228448906	Esconder cadáver
974031510	Saltar abajo
1570316501	Saltar
1281200264	Equipo que falta
1661399895	Soltar
1970208064	Apuntar
332063575	Usar habilidad
1642445805	Cambiar habilidad
979623826	Colocar marcador
1371401178	Quitar marcador
14277674	Alternar cono visual
1007288526	Alternar acción
760226682	Ejecutar plan
623490031	Registro de misiones
1137813917	Pausa
341979071	Continuar
1020053951	Guardado rápido
1985431665	Crear punto intermedio
1985552838	Reiniciar plan
735890781	Cancelar
45909301	Uno de tus personajes ha muerto.
1126684877	James Cooper ha muerto.
1767301141	Han capturado a Kate de camino al despacho.
1804249882	No queda dinamita para destruir el objetivo.
1239789683	Todos los objetivos deben morir a la vez.
1820626305	«Je, te crees muy listo, ¿eh? ¡Pues me río yo de ti!» - Isabelle
729436862	Restablecer cámara
2004899354	Cámara
1848829029	Ninguna
1616150760	Usar
417700520	Matar
575344989	Disparar
964636690	¿Sobrescribir esta partida guardada?
454694763	¿Reiniciar la misión? Los progresos sin guardar se perderán.
1410384205	¿Salir de la misión? Los progresos sin guardar se perderán.
426906539	Cargar partida guardada seleccionada
1455108595	Crear nueva partida guardada
537819092	Tiempo empleado:
1033428211	Número de guardados:
1389622243	Número de cargas:
876575705	Enemigos muertos:
663721942	Enemigos perdonados:
1332746099	Civiles muertos:
1918849677	Heridas sufridas:
341645269	Jugadores detectados:
1712271163	Cadáveres descubiertos:
1445260513	Número de alarmas:
2046070127	Más ejecuciones:
1305585010	Más muertes:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0} s
1003502670	ESTADÍSTICAS
1350143852	PERSONAJES
1519278145	Ejecuciones:
1771961771	Tiempo:
1898824317	Menú
1808595989	Guardado rápido
316165492	Carga rápida
553774258	Omitir {0}
763728597	Omitir
1607540763	FIN DE LA PARTIDA
134572073	INFO. DE MISIÓN
684574630	PISTAS
15174608	REGISTRO DE DIÁLOGOS
1690935143	PLACAS
534458022	Girar
1172304687	Ampliar
472536070	VOLVER AL MENÚ
2007793874	Duelo
1552845124	Objetivos
2129578386	Visión
45086762	Entrar
650614824	Empujar
1006693641	Salir
1012474485	Robar
824126935	Cortar
960256102	Llevar
1136054151	Matar
2009903160	Noquear
404800528	Bloqueado
98960900	Las placas sin terminar no se muestran la primera vez que se juega a una misión.
143561912	{0} (Mantener)
1031727861	Centrar vista
1317422898	Cambiar salida
1574346156	Estadísticas
268313053	Placas
1677804019	¡Nueva pista! {0}
47952872	¡Objetivos actualizados! {0}
171506482	Distraer
1117636783	Atraer
525698574	Modo de dificultad:
2001539196	Avance rápido
2074698804	Ejecución individual
1029285209	{0}/{1} guardados usados
1680649526	¡Sin guardados!
422895194	Matar con salto
617453	Aturdir con salto
2127570168	Pulsa {0} para cambiar de habilidad
789822849	Continuar
901096514	Ejecutar
60305594	Zambullirse
2000969630	Atar
635175699	Último guardado:
225439770	TUTORIALES
61553626	Info. global
1564195777	Noquear
2066401617	Curar
1669220735	Cambiar de personaje
455511559	Cancelar: {0}
294017721	Ejecutar: {0}
1622650625	ATRÁS
1770561895	SÍ
2074094913	NO
1895473994	¡ATENCIÓN!
1616262428	Reiniciar todo
1751646158	Pulsa {0} para empezar
1417345817	CONTINUAR
540295136	CARGAR
1718974128	OPCIONES
2095129783	Selección de misión
921695462	Contenido descargable
722272055	Activado
1880743921	Desactivado
148167890	×2
751714715	×4
723357853	×8
1205484016	PLACAS
282651035	Sí
520483897	No
727564207	JUGAR
614197672	GUARDAR
1886644729	Menú Principal
256619881	PAUSA
327085024	GUARDADOS RÁPIDOS
1630446124	{0} hoy
499301031	hace {0} min
1535055933	hace {0} min {0} s
375658126	SOBRESCRIBIR
919197944	CARGAR
1273710227	SALIR DEL JUEGO
1261996133	VOLVER A EMPEZAR
1680915354	¿Volver al escritorio?
1228739812	CARGA RÁPIDA
1162764950	ESCENA
1225642196	¿Quieres volver a ver la escena?
1718054198	Guardados rápidos
234100204	Guardados normales
753130424	PARTIDA NUEVA
1238399001	CONFIRMAR
1063145121	¿Comenzar nueva partida?
1171586678	BORRAR
620746292	¿Borrar partida guardada? {0}
66585026	Aceptar
102014301	Siguiente
48274808	Cerrar
1637075804	INFO.
871894210	OCULTAR
299223502	Misión fallida
534861306	Selecciona qué archivo cargar
1609646037	¿Cargar partida guardada? 
431050512	Error de guardado
1338371785	Algo ha fallado al guardar.
50685828	Cargando
462364397	Guardando
1753630574	Más partidas
1920816122	Anterior
1031410729	Aplicar
595402552	Elegir idioma de diálogos
1894310156	Seleccionar tu idioma preferido para los diálogos hablados. En el menú de opciones puedes cambiar este ajuste en cualquier momento.
1175167657	Se ha cambiado la configuración. ¿Aplicar cambios?
1937172350	Esta partida guardada se creó en otro nivel. Al cargarla saldrás del nivel actual. ¡Los progresos sin guardar se perderán! ¿Continuar?
469052433	Mando desconectado
495479490	Mando inalámbrico desconectado
1024292908	Vuelve a conectar el mando o pulsa {0} en otro mando conectado.
2114202035	Vuelve a conectar el mando inalámbrico o usa otro mando inalámbrico y cambia al usuario que inició la aplicación.
1726656013	Cargando datos de guardado de usuario
604825608	Partida guardada dañada
1072627118	El archivo que has intentado cargar estaba dañado y se rescribirá con los ajustes por defecto.
1810121494	El archivo de datos de usuario está dañado. Se han recuperado datos.
901336057	El archivo de datos de usuario está dañado y no se puede recuperar. Tus datos volverán a los valores por defecto.
2074534947	DATOS DE USUARIO
1564185545	No hay espacio suficiente en el disco. Libera más espacio para guardar la partida.
208516596	dañado
1080011117	CAMBIANDO DE USUARIO
1615693186	No apagues tu sistema PlayStation®4 mientras se muestre este símbolo.
