English	英语
German	德语
Chinese	中文
French	法语
Italian	意大利语
Spanish	西班牙语
Russian	俄罗斯语
Korean	韩语
Polish	波兰语
Japanese	日语
Portuguese	葡萄牙语(BR)

1089572441	选择角色
326908463	取消选择角色
1593035469	选择全部角色
720952508	取消选择全部角色
8814543	攀爬
1707401394	拾取
1228448906	隐藏
974031510	跳下
1570316501	跳跃
1281200264	缺少装备
1661399895	丢弃
1970208064	瞄准
332063575	使用技能
1642445805	交换技能
979623826	放置标记
1371401178	移除标记
14277674	切换锥形视野
1007288526	切换动作
760226682	实行计划
623490031	任务列表
1137813917	暂停
341979071	继续
1020053951	快速保存
1985431665	创建路标
1985552838	重置计划
735890781	取消
45909301	你有一位角色阵亡。
1126684877	詹姆斯·库珀死亡。
1767301141	凯特在去办公室的路上被捕了。
1804249882	炸药不足，无法清除物品。
1239789683	所有目标必须同时死去。
1820626305	“哈，你觉得自己很聪明是吧？那你可就闹笑话了！”——伊莎贝尔
729436862	重置镜头
2004899354	镜头
1848829029	无
417700520	杀死
575344989	射击
964636690	是否覆盖存档？
454694763	重新开始任务？未被保存的进度将全部丢失。
1410384205	离开任务？未被保存的进度将全部丢失。
426906539	加载选中存档
1455108595	创建新存档
537819092	完成时间：
1033428211	存档计数：
1389622243	加载计数：
876575705	击杀敌人数：
663721942	未击杀敌人数：
1332746099	杀死公民人数：
1918849677	受伤人数：
341645269	检测到玩家：
1712271163	发现的尸体：
1445260513	报警计数：
2046070127	击杀最多：
1305585010	死亡最多：
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0} 秒
1003502670	统计
1350143852	角色
1519278145	击杀：
1771961771	时间：
1898824317	菜单：
1808595989	快速保存
316165492	快速加载
553774258	跳过{0}
763728597	跳过
1607540763	游戏结束
134572073	任务信息
684574630	提示
15174608	日志
1690935143	徽章
534458022	旋转
1172304687	缩放
472536070	回到菜单
2007793874	决战
1552845124	目标
2129578386	视野
45086762	进入
650614824	推动
1006693641	离开
1012474485	偷取
824126935	划破
960256102	背
1136054151	杀死
2009903160	痛击
404800528	锁着的
98960900	未完成的徽章不会再第一次进行任务时展示。
143561912	{0}(拿)
1031727861	中心视角
1317422898	改换出口
1574346156	统计
268313053	徽章
1677804019	新提示！{0}
47952872	目标更新！{0}
171506482	转移注意力
1117636783	勾引
525698574	难度模式：
2001539196	快进
2074698804	单次执行
1029285209	已使用{0}/{1}个存档
1680649526	没有存档数！
422895194	跳跃击杀
617453	跳跃击晕
2127570168	按{0}切换技能
789822849	继续
901096514	执行
44714549	完全(只有赫克托)
1351320459	+{0} (只有伊莎贝尔)
60305594	潜水
2000969630	捆绑
635175699	最近保存：
225439770	教程
61553626	总览
1564195777	痛击
2066401617	治疗
1669220735	切换角色
1622650625	返回
1770561895	是
2074094913	否
1895473994	警告！
1616262428	全部重置
1751646158	按{0}开始
1417345817	继续
540295136	加载
1718974128	选项
2095129783	任务选择
921695462	DLC
722272055	开启
1880743921	关闭
1296485339	阴影效果
1373413817	材质分辨率
1360711769	开启或关闭阴影效果
1916906986	提高或降低抗锯齿等级
289642533	增加或减少材质分辨率
148167890	2×
751714715	4×
723357853	8×
543329642	主音量
1806164857	音乐音量
193405480	音效音量
2076792662	语音音量
506360498	提高或降低游戏的主音量
636360512	提高或降低游戏的音乐音量
719162085	提高或降低游戏的音效音量
1496215659	提高或降低游戏角色的语言音量
1205484016	徽章
282651035	确认
520483897	取消
727564207	开始游戏
614197672	保存
1886644729	主菜单
256619881	暂停
327085024	快捷列表
1630446124	{0}今天
499301031	{0}分钟前
1535055933	{0}分{1}秒前
375658126	覆盖
919197944	加载
1273710227	离开游戏
1261996133	重新开始
1680915354	回到桌面？
1228739812	快速加载
194751495	视频
742750455	游戏设置
427002912	音频
435550555	控制
1956330395	名单
876312009	开发
486633304	保存提醒
367072283	启动屏幕上方的保存提醒/n同时调整上次保存后提醒重新出现所需的时间。
904565450	NPC字幕
1016841846	开启游戏中的NPC字幕
1140205606	切换高亮
612494481	文本语言
357458454	语音语言
1830301241	决定高光的持续时间/n关闭：保持数秒钟/n开启：在取消前一直保存。
1442293416	调整伽马滑块，直到你可以看到所有的纹理，并使左边的枪只能依稀可见。
1093446963	重置游戏
604412219	这将重置你的游戏。你将失去所有的任务进度，已保存的游戏和解锁的徽章。您的视频设置、音频设置、游戏设置和自定义输入布局将不会重置。是否继续？
215104258	键盘
1327985646	镜头速度
405449256	控制器瞄准速度
1606175245	控制器轴阈值
600213007	调整控制器摇杆动作识别的阈值。
824998259	镜头边界滚动
666387157	切换快进
1162764950	过场动画
1225642196	是否再次观看过场动画？
1718054198	快速保存
234100204	普通保存
738261692	不推荐使用的存储文件！
753130424	新游戏
1238399001	确认
