English	Anglais
German	Allemand
Chinese	Chinois
French	Français
Italian	Italien
Spanish	Espagnol
Russian	Russe
Korean	Coréen
Polish	Polonais
Japanese	Japonais
Portuguese	Portugais(BR)

1089572441	Sélectionner le personnage
326908463	Désélectionner le personnage
1593035469	Sélectionner tous les personnages
720952508	Désélectionner tous les personnages
8814543	Grimper
1707401394	Prendre
1228448906	Dissimuler le corps
974031510	Descendre
1570316501	Sauter
1281200264	Matériel manquant
1661399895	Lâcher
1970208064	Viser
332063575	Utiliser la compétence
1642445805	Changer de compétence
979623826	Placer un marqueur
1371401178	Supprimer un marqueur
14277674	Afficher/masquer le champ de vision
1007288526	Afficher/masquer l’action
760226682	Exécuter le plan
623490031	Journal des quêtes
1137813917	Pause
341979071	Continuer
1020053951	Sauvegarde rapide
1985431665	Créer un point de passage
1985552838	Réinitialiser le plan
735890781	Annuler
45909301	Un de vos personnages est mort.
1126684877	James Cooper est mort.
1767301141	Kate a été capturée pendant qu’elle se rendait au bureau.
1804249882	Il ne reste plus de dynamite pour détruire l’objectif.
1239789683	Toutes les cibles doivent mourir en même temps.
1820626305	"Ha ! Tu te crois malin, hein ? Dommage pour toi !" – Isabelle
729436862	Réinitialiser la caméra
2004899354	Caméra
1848829029	Aucun(e)
1616150760	Utiliser
417700520	Éliminer
575344989	Tirer
964636690	Remplacer cette sauvegarde ?
454694763	Recommencer la mission ? Toute progression non sauvegardée sera perdue.
1410384205	Quitter la mission ? Toute progression non sauvegardée sera perdue.
426906539	Charger la sauvegarde sélectionnée
1455108595	Créer une nouvelle sauvegarde
537819092	Durée de la mission :
1033428211	Nombre de sauvegardes :
1389622243	Nombre de chargements :
876575705	Ennemis tués :
663721942	Ennemis épargnés :
1332746099	Civils tués :
1918849677	Blessures reçues :
341645269	Joueurs détectés :
1712271163	Corps découverts :
1445260513	Nombre d’alertes :
2046070127	Plus d’ennemis tués :
1305585010	Plus de morts :
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0} s
1003502670	STATISTIQUES
1350143852	PERSONNAGES
1519278145	Ennemis tués :
1771961771	Temps :
1898824317	Menu
1808595989	Sauvegarde rapide
316165492	Chargement rapide
553774258	Passer {0}
763728597	Passer
1607540763	FIN DE PARTIE
134572073	INFOS SUR LA MISSION
684574630	CONSEILS
15174608	JOURNAL DES DIALOGUES
1690935143	INSIGNES
534458022	Rotation
1172304687	Zoom
472536070	RETOUR AU MENU
2007793874	Affrontement
1552845124	Objectifs
2129578386	Vision
45086762	Entrer
650614824	Pousser
1006693641	Quitter
1012474485	Voler
824126935	Couper
960256102	Porter
1136054151	Éliminer
2009903160	Assommer
404800528	Fermé à clé
98960900	Les insignes inachevés ne sont pas affichés lorsqu’une mission est jouée pour la première fois.
143561912	{0} (appui long)
1031727861	Centrer la vue
1317422898	Changer de sortie
1574346156	Statistiques
268313053	Insignes
1677804019	Nouveau conseil ! {0}
47952872	Objectifs mis à jour ! {0}
171506482	Distraire
1117636783	Appâter
525698574	Niveau de difficulté :
2001539196	Avance rapide
2074698804	Exécution pas-à-pas
1029285209	{0}/{1} sauvegardes utilisées
1680649526	Pas de sauvegardes !
422895194	Élimination en sautant
617453	Étourdissement en sautant
2127570168	Appuyez sur {0} pour changer de compétence
789822849	Continuer
901096514	Exécuter
60305594	Plonger
2000969630	Ligoter
635175699	Dernière sauvegarde :
225439770	TUTORIELS
61553626	Vue d’ensemble
1564195777	Assommer
2066401617	Soigner
1669220735	Changer de personnage
455511559	Annuler : {0}
294017721	Exécuter : {0}
1622650625	RETOUR
1770561895	OUI
2074094913	NON
1895473994	ATTENTION !
1616262428	Réinitialiser tout
1751646158	Appuyez sur {0} pour commencer
1417345817	CONTINUER
540295136	CHARGER
1718974128	OPTIONS
2095129783	Sélectionner la mission
921695462	CONTENU TÉLÉCHARGEABLE
722272055	Activé
1880743921	Désactivé
148167890	2×
751714715	4×
723357853	8×
1205484016	INSIGNES
282651035	Oui
520483897	Non
727564207	JOUER
614197672	SAUVEGARDER
1886644729	Menu Principal
256619881	PAUSE
327085024	LISTE DE SAUVEGARDES RAPIDES
1630446124	{0} aujourd’hui
499301031	Il y a {0} m
1535055933	Il y a {0}m {1}s
375658126	REMPLACER
919197944	CHARGER
1273710227	QUITTER LE JEU
1261996133	RECOMMENCER
1680915354	Revenir au Bureau ?
1228739812	CHARGEMENT RAPIDE
1162764950	SCÈNE CINÉMATIQUE
1225642196	Voulez-vous revoir la scène cinématique ?
1718054198	Sauvegardes rapides
234100204	Sauvegardes normales
753130424	NOUVELLE PARTIE
1238399001	CONFIRMER
1063145121	Commencer une nouvelle partie ?
1171586678	SUPPRIMER
620746292	Supprimer la sauvegarde ? {0}
66585026	OK
102014301	Suivant
48274808	Fermer
1637075804	INFOS
871894210	MASQUER
299223502	Échec de la mission
534861306	Sélectionnez un fichier à charger
1609646037	Charger la sauvegarde ?
431050512	Erreur pendant la sauvegarde
1338371785	Une erreur s’est produite pendant la sauvegarde.
50685828	Chargement
462364397	Sauvegarde
1753630574	Autres parties
1920816122	Précédent
1031410729	Appliquer
595402552	Choisir la langue des dialogues
1894310156	Sélectionnez votre langue préférée pour les dialogues. Vous pourrez modifier votre choix ultérieurement, depuis le menu des options.
1175167657	Des paramètres ont été modifiés. Appliquer les modifications ?
1937172350	Cette sauvegarde a été créée dans un autre niveau. Si vous la chargez, vous quitterez le niveau actuel. Toute progression non sauvegardée sera perdue. Continuer ?
469052433	Manette déconnectée
495479490	Manette sans fil déconnectée
1024292908	Reconnectez votre manette ou appuyez sur {0} sur une autre manette connectée.
2114202035	Reconnectez votre manette sans fil ou utilisez une autre manette sans fil connectée, puis sélectionnez l’utilisateur ayant démarré l’application.
1726656013	Chargement des données de sauvegarde de l’utilisateur
604825608	Sauvegarde corrompue
1072627118	Le fichier que vous avez essayé de charger est corrompu ; il sera remplacé par les paramètres par défaut.
1810121494	Le fichier de données de l’utilisateur est corrompu. Certaines données ont pu être récupérées.
901336057	Le fichier de données de l’utilisateur est corrompu et ne peut pas être récupéré. Les données par défaut de l’utilisateur seront restaurées.
2074534947	DONNÉES DE L’UTILISATEUR
1564185545	Espace disque insuffisant ; veuillez libérer de l’espace pour sauvegarder la partie.
208516596	corrompue
1080011117	CHANGEMENT D’UTILISATEUR
1615693186	Veuillez ne pas éteindre votre système PlayStation®4 lorsque ce symbole est affiché.
653665833	Veuillez ne pas quitter le jeu, suspendre la partie ou éteindre votre console Xbox One lorsque ce symbole est affiché.
1801035418	Veuillez ne pas quitter le jeu lorsque ce symbole est affiché.
1308428726	Échec de l’initialisation du stockage. Pour jouer, vous devez disposer d’un espace de stockage connecté.
1459825798	Réessayer
1825071464	Votre dernière sauvegarde est obsolète ou corrompue. Voulez-vous plutôt recommencer la mission en cours ?
906613780	Vous avez atteint le nombre maximum de sauvegardes. Veuillez supprimer ou remplacer une sauvegarde existante. Remarque : les sauvegardes rapides ne sont pas prises en compte dans cette limite.
962072658	Sauvegarde : veuillez ne pas quitter le jeu, suspendre la partie ou éteindre votre console Xbox One lorsque ce symbole est affiché.
1499250081	Sauvegarde : veuillez ne pas éteindre votre système PlayStation®4 lorsque ce symbole est affiché.
352385758	Sauvegarde : veuillez ne pas quitter le jeu lorsque ce symbole est affiché.
488026919	Consultez la page de notre Store si vous souhaitez acheter {0}.
289232529	Accéder au Microsoft Store
1024096936	Accéder au PlayStation™Store
1214121497	Installation des contenus supplémentaires : {0} %
1657622959	La mission n’est pas encore installée.
1609842196	Une erreur s’est produite pendant le chargement.
1893923580	Désolé. Une erreur s’est produite.
1419415249	Déconnecté(e)
1458532162	{0} s’est déconnecté(e) ; vous allez revenir au menu principal.
1575082279	Changement d’utilisateur effectué
306408042	Le profil {0} a été sélectionné ; vous allez maintenant revenir au menu principal.
1429086435	(+{0} autres)
1409730632	Appuyez sur une touche pour commencer
648045773	Attente du PlayStation™Store
442800743	Attente du Microsoft Store
128141297	Un incident réseau s’est produit.
681487417	Paramètres vidéo
1052460126	Paramètres de jeu
2087751746	Paramètres audio
25224588	Données de démarrage
1739078801	Configuration des commandes
1649511477	Votre configuration des commandes personnalisée est corrompue. Elle sera remplacée par la configuration par défaut.
442535890	La sauvegarde est corrompue ; la mission va recommencer.
830724165	Paramètres de suivi oculaire
75518517	Espace disponible insuffisant ; veuillez libérer de l’espace pour sauvegarder la partie.
1883515290	Pour une vue d’ensemble complète de toutes les actions pouvant être liées à une touche, accédez aux options, puis ouvrez le menu Commandes.
181097058	Modifier
2120229012	Appuyez sur {0} pour charger la dernière sauvegarde
1659245168	Appuyez pour charger
529741173	Chapitre I
213395621	Chapitre II
1849150576	Chapitre III
621937644	DLC
396044400	Statistiques globales
42023172	Navigateur de replays
1655725184	Tutoriels
248132106	Appuyez sur {0} pour regarder le tutoriel vidéo
1280511646	Tutoriels vidéo
1247566776	Conseils
939486293	Regarder
943246456	Sauvegarder le replay
1893463442	Poste de garde
972756208	Charger le replay
1453684936	Supprimer le replay ? {0}
1850594441	Nombre maximum de replays atteint !
1788790745	Replay corrompu
1497734632	Veuillez patienter
791830996	Chargement de votre replay...
980330027	Ce paramètre ne peut pas être modifié en cours de jeu.
905456972	Niveau de difficulté
90161797	Facile
772446225	Moyen
1323360165	Difficile
773723552	Défis
2031709440	Défi du Baron
742750455	JEU
1072918770	Vibration
752466123	Active la vibration de la manette.
510496150	Active la vibration de la manette sans fil.
1469139790	Mode de suivi de la caméra
2096575592	Standard
652460590	Intelligent
1820430346	Centré
259250595	Standard : pas de suivi automatique, actions manuelles uniquement./nCentré : la caméra reste centrée sur le personnage principal.
405449256	Vitesse de visée de la manette
439942642	Vitesse de visée de la manette sans fil
1867437729	Règle le déplacement du pointeur pour les compétences de visée.
1606175245	Seuil des axes de la manette
2027151249	Seuil des axes de la manette sans fil
600213007	Ajuste le seuil de reconnaissance du déplacement des sticks analogiques de la manette.
626213254	Règle le seuil de reconnaissance du déplacement des joysticks de la manette sans fil.
1320655516	Champ de vision
1552857310	Règle la visibilité des champs de vision des ennemis.
1848427170	Mode daltonien
312686700	Active le mode daltonien.
1770522976	Visibilité des contours
903136842	Faible
214647730	Moyenne
1939756145	Forte
2119128132	Règle la visibilité des contours des personnages et des objets interactifs.
486633304	Rappel de sauvegarde
367072283	Active le rappel de sauvegarde le long du bord supérieur de l’écran./nrègle également le délai d’affichage du rappel après votre dernière sauvegarde.
1382966912	Redressement auto
2021839866	Détermine si les personnages se mettent automatiquement debout avec un double-clic.
1877893628	Dialogues auto
175092334	Détermine si les dialogues avancent automatiquement pendant les briefings.
1140205606	Activer/désactiver la surbrillance
1830301241	Détermine combien de temps la surbrillance reste active :/nInactive : reste active pendant quelques secondes./nActive : reste active jusqu’à ce qu’elle soit désactivée.
666387157	Activer/désactiver l’avance rapide
1779818369	Détermine comment l’avance rapide est utilisée :/nInactive : Appuyer longuement pour accélérer le temps, relâcher pour arrêter./nActive : appuyer sur la touche pour activer/désactiver l’avance rapide.
1327985646	Vitesse de la caméra
471601378	Règle la vitesse de déplacement de votre caméra.
824998259	Déplacement de la caméra au bord de l’écran
558622535	Permet de déplacer la caméra en déplaçant le curseur vers le bord de l’écran.
2012998024	Rotation de la caméra
415969457	Inversée
888640053	Normale
1154410071	Zoom de la caméra
1062301022	Caméra, axe X
122559663	Caméra, axe Y
444678528	Déplacement de la caméra, axe X
1512099547	Déplacement de la caméra, axe Y
724136998	Visée, axe X
1114573338	Visée, axe Y
310268606	Sous-titres
904565450	Sous-titres des PNJ
1016841846	Active les sous-titres des PNJ dans le monde de jeu.
1076145211	Sous-titres des personnages
34778467	Active les sous-titres des personnages jouables dans le monde de jeu.
1459237052	Sous-titres des scènes cinématiques
1609466858	Active les sous-titres des scènes cinématiques.
1865076062	Sous-titres des briefings
89601639	Active les sous-titres des briefings.
1993831770	Sous-titres des conversations
1423012840	Active les sous-titres des conversations dans le jeu.
1627962200	Manette active
465571489	Manette sans fil active
1637947761	Sélectionnez la manette que vous souhaitez utiliser pour jouer.
1266674654	Sélectionnez la manette sans fil que vous souhaitez utiliser pour jouer.
427002912	AUDIO
612494481	Langue des textes
193233307	Sélectionnez la langue des textes affichés à l’écran.
215104258	Clavier
1544447732	Sélectionnez la disposition du clavier.
357458454	Langue des dialogues
776918688	Sélectionnez la langue des dialogues.
692943060	Mode des haut-parleurs
1727566288	Sélectionnez la configuration de haut-parleurs que vous souhaitez utiliser. Cette option est uniquement disponible dans le menu principal.
406098029	Stéréo
354244378	Surround 5.1
1693017002	Surround 7.1
