English	Englisch
German	Deutsch
Chinese	Chinesisch
French	Französisch
Italian	Italienisch
Spanish	Spanisch
Russian	Russisch
Korean	Koreanisch
Polish	Polnisch
Japanese	Japanisch
Portuguese	Portugiesisch(BR)

1678000250	Johnnie. Trödel nicht so! ... Na los!
220997359	Bin direkt hinter dir, Pa.
469298229	Ich gehe vor. Du kommst nach und passt gut auf.
1426237520	Ja, Sir.
1299558651	
1006428758	
1472201416	
1184634196	Da ist die erste Wache. Ich lass mich besser nicht erwischen.
1345089562	Na los! Geh auf, du stures Stück Eselskacke!
52315649	Geh auf! Verdammt, ich verdurste hier draußen noch.
1708575428	Das ist unfair. Ich kann den Whiskey von hier aus riechen.
1722395276	Mist. Wer hat eigentlich den verdammten Schlüssel verlegt?
799306384	Ha. Ich komm später zurück ... mit einer Axt.
200422027	Bewegt sich immer noch kein Stück. Verdammt.
960289221	Warum gehst du nicht auf, du Miststück!
1143306891	Da drin ist Whiskey. Ich weiß es genau.
967692626	Warum muss ich hier draußen sein?
677920504	Mist, jetzt könnte ich echt einen Schluck gebrauchen.
444229462	Verdammt ... Dieser Durst bringt mich noch um.
1273054320	Kommt hier überhaupt mal einer vorbei?
678736588	Was zum Teufel ist denn passiert?
1561295358	Tut mir leid, ... ich hab einen Fehler gemacht.
1989147937	John!
1619913815	Johnnie, nein!
52069976	Gott, nein!
1737853021	Das ist mein Junge. Jetzt bleib bei mir.
673464788	Da vorne ist noch einer.
1939658397	Wir müssen ihn ablenken.
1566035860	Klar. Ich werf einfach 'ne Münze.
971260786	Gute Idee. Sieh zu dass er sich wegdreht. Ich erledige den Rest.
1816478218	Sieh zu dass er sich wegdreht.
1903341140	Er muss wegdrehen.
284741563	Sorg dafür, dass er wegguckt.
2142470101	Das hast du doch schon mal gemacht.
521173166	Die hat er nicht gehört.
1346330984	Wirf sie näher ran.
1304306774	Vergiss nicht: ruhig denken, schnell handeln.
1510475130	Und wir verstecken immer die Leiche.
186921039	Du hast gut aufgepasst.
434305833	Mir nach. Bleib unauffällig.
982212394	Jesus, ich hasse Pferde. Dumme Biester.
80618972	„Du kümmerst dich um die Pferde, Sal“ ... Haha, sehr witzig.
683117499	Gut so, bleib da stehen und friss.
1511957846	Du! Du bist der Schlimmste von denen!
2065162587	Wage es nicht, nach mir auszutreten, verstanden?
1035198870	Verdammter Teufel. Ich behalte dich im Auge.
1094668953	Das Vieh will mich treten, ich weiß es genau.
1860765847	Mach ja nichts Komisches, hörst du?
1347961325	Wenn du mich trittst, schieß ich dir in den Hintern.
29525659	Ich hasse Pferde, Billy.
947759493	Was kommst du zu mir, ich steh hier nur Wache.
395352510	Komm schon, lass uns tauschen.
1095449348	Wir haben alle unsere Aufgaben, Sal.
1258460792	Warum kannst du dich nicht um die Pferde kümmern?
1580432621	Weil es lustiger ist, wenn du das machst.
140547430	Das sollte genügen.
969963853	Hey, Pa? 
2105600160	Ja?
1347077792	Wie viele Männer hat Frank eigentlich?
1767201949	Ist doch egal, Junge. Mann gegen Mann hast du immer eine Chance. Man muss das Rudel nur ausdünnen.
1708426917	Abgesperrt. Hab ich mir doch gedacht.
961203488	Verschlossen. Hab ich mir gedacht.
2121242683	Also gut, Junge. Zeit für eine Herausforderung.
1608020280	Siehst du die Strickleiter dort oben? Du musst sie zu mir herunterwerfen.
1217893076	Gut gemacht. Das ist mein Junge!
669315966	Das war leicht!
1808677364	Halt den Kopf unten. Da sind noch mehr.
1654110603	Du musst einen Weg finden, dich da durchzuschleichen.
1661663094	Hast du schon von Lindberg gehört? Sie hat doch glatt die letzte Flasche vom alten Hutch ausgeleert.
1165105379	Das erklärt, warum der alte Saftsack so einen Hass auf sie hat. 
1479050419	Und was glaubst du, was er nun macht? Sie zu einem ... Duell auffordern?
683057496	Du kennst doch den alten Hutch ... Sein einziger Freund ist die Flasche.
679665959	Ich würde auf Hutch setzen. Keiner ist so gemein wie er. Und so schnell.
2061201113	Ja! Außerdem ist er sturzbetrunken. Und zittert wie Espenlaub.
