English	Inglese
German	Tedesco
Chinese	Cinese
French	Francese
Italian	Italiano
Spanish	Spagnolo
Russian	Russo
Korean	Coreano
Polish	Polacco
Japanese	Giapponese
Portuguese	Portoghese(BR)

1089572441	Seleziona personaggio
326908463	Deseleziona personaggio
1593035469	Seleziona tutti i personaggi
720952508	Deseleziona tutti i personaggi
8814543	Usa
1707401394	Prendi
1228448906	Nascondi corpo
974031510	Salta giù
1570316501	Salta
1281200264	Attrezzo mancante
1661399895	Lascia
1970208064	Mira
332063575	Usa abilità
1642445805	Cambia abilità
979623826	Posiziona segnale
1371401178	Rimuovi segnale
14277674	Attiva/Disattiva Campo visivo
1007288526	Attiva/Disattiva Azione
760226682	Esegui il piano
623490031	Registro missioni
1137813917	Pausa
341979071	Continua
1020053951	Salvataggio rapido
1985431665	Crea tappa
1985552838	Azzera piano
735890781	Annulla
45909301	Uno dei tuoi personaggi è morto.
1126684877	James Cooper è morto.
1767301141	Kate è stata catturata mentre si dirigeva verso l'ufficio.
1804249882	Non è rimasta dinamite per liberare l'obiettivo.
1239789683	Tutti i bersagli devono morire nello stesso momento.
1820626305	"Ti credi tanto furbo, eh? Beh, peggio per te!" – Isabelle
729436862	Reimposta visuale
2004899354	Visuale
1848829029	Nessuno
1616150760	Usa
417700520	Uccidi
575344989	Spara
964636690	Sovrascrivere questo salvataggio?
454694763	Riavviare la missione? Tutti i progressi non salvati andranno persi.
1410384205	Uscire dalla missione? Tutti i progressi non salvati andranno persi.
426906539	Carica salvataggio selezionato
1455108595	Crea nuovo salvataggio
537819092	Tempo di completamento:
1033428211	Numero salvataggi:
1389622243	Numero caricamenti:
876575705	Nemici uccisi:
663721942	Nemici risparmiati:
1332746099	Civili uccisi:
1918849677	Ferite ricevute:
341645269	Giocatori identificati:
1712271163	Corpi scoperti:
1445260513	Numero allarmi:
2046070127	Maggior numero di uccisioni:
1305585010	Maggior numero di morti:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0}s
1003502670	STATISTICHE
1350143852	PERSONAGGI
1519278145	Uccisioni:
1771961771	Tempo:
1898824317	Menu
1808595989	Salvataggio rapido
316165492	Caricamento rapido
553774258	Salta {0}
763728597	Salta
1607540763	GAME OVER
134572073	INFO MISSIONE
684574630	SUGGERIMENTI
15174608	REGISTRO DIALOGHI
1690935143	DISTINTIVI
534458022	Ruota
1172304687	Zoom
472536070	TORNA AL MENU
2007793874	Resa dei conti
1552845124	Obiettivi
2129578386	Visione
45086762	Entra
650614824	Spingi
1006693641	Esci
1012474485	Ruba
824126935	Taglia
960256102	Porta
1136054151	Uccidi
2009903160	Stordisci
404800528	Chiuso
98960900	I distintivi non completati non vengono mostrati la prima volta che si gioca una missione.
143561912	{0} (Tieni premuto)
1031727861	Centra visuale
1317422898	Cambia uscita
1574346156	Statistiche
268313053	Distintivi
1677804019	Nuovo suggerimento! {0}
47952872	Obiettivi aggiornati! {0}
171506482	Distrai
1117636783	Attira
525698574	Modalità difficoltà:
2001539196	Avanti veloce
2074698804	Esecuzione singola
1029285209	Salvataggi utilizzati: {0}/{1}
1680649526	Nessun salvataggio!
422895194	Salta e uccidi
617453	Salta e stordisci
2127570168	Premi {0} per cambiare abilità
789822849	Continua
901096514	Esegui
60305594	Tuffati
2000969630	Lega
635175699	Ultimo salvataggio:
225439770	TUTORIAL
61553626	Panoramica
1564195777	Stordisci
2066401617	Cura
1669220735	Cambia personaggio
455511559	Annulla: {0}
294017721	Esegui: {0}
1622650625	INDIETRO
1770561895	SÌ
2074094913	NO
1895473994	ATTENZIONE!
1616262428	Reimposta tutto
1751646158	Premi {0} per iniziare
1417345817	CONTINUA
540295136	CARICA
1718974128	OPZIONI
2095129783	Selezione missione
921695462	DLC
722272055	Attivato
1880743921	Disattivato
148167890	2×
751714715	4×
723357853	8×
1205484016	DISTINTIVI
282651035	Sì
520483897	No
727564207	GIOCA
614197672	SALVA
1886644729	Menu Principale
256619881	PAUSA
327085024	LISTA RAPIDA
1630446124	{0} oggi
499301031	{0} m fa
1535055933	{0}m e {1}s fa
375658126	SOVRASCRIVI
919197944	CARICA
1273710227	ESCI DAL GIOCO
1261996133	RIAVVIA
1680915354	Tornare al desktop?
1228739812	CARICAMENTO RAPIDO
1162764950	FILMATO
1225642196	Vuoi guardare di nuovo il filmato?
1718054198	Salvataggi rapidi
234100204	Salvataggi normali
753130424	NUOVA PARTITA
1238399001	CONFERMA
1063145121	Iniziare una nuova partita?
1171586678	ELIMINA
620746292	Eliminare salvataggio? {0}
66585026	OK
102014301	Prossimo
48274808	Chiudi
1637075804	INFO
871894210	NASCONDI
299223502	Missione fallita
534861306	Seleziona un file da caricare
1609646037	Caricare salvataggio?
431050512	Errore di salvataggio
1338371785	Qualcosa è andato storto durante il salvataggio.
50685828	Caricamento
462364397	Salvataggio
1753630574	Altri giochi
1920816122	Precedente
1031410729	Applica
595402552	Scegli lingua dei dialoghi
1894310156	Seleziona la lingua che preferisci per i dialoghi. Puoi cambiarla in seguito dal menu opzioni.
1175167657	Le impostazioni sono state modificate. Salvare le modifiche?
1937172350	Questo salvataggio è stato creato in un altro livello. Se lo carichi uscirai dal livello in cui ti trovi. Tutti i progressi non salvati andranno persi! Continuare?
469052433	Controller disconnesso
495479490	Controller wireless disconnesso
1024292908	Riconnetti il controller o premi {0} su un altro controller connesso.
2114202035	Riconnetti il controller wireless o usa un altro controller wireless e passa all'utente che ha avviato l'applicazione.
1726656013	Caricamento dati salvati utente
604825608	Salvataggio danneggiato
1072627118	Il file che hai provato a caricare era danneggiato e verrà sovrascritto con le impostazioni di default.
1810121494	I dati utente sono danneggiati, ma possono essere recuperati.
901336057	I dati utente sono danneggiati e non possono essere recuperati. Verranno riportati alle impostazioni di default.
2074534947	DATI UTENTE
1564185545	Spazio su disco insufficiente, libera spazio aggiuntivo per salvare la partita.
208516596	danneggiato
1080011117	CAMBIO UTENTE
1615693186	Non spegnere il sistema PlayStation®4 con quest'icona visualizzata.
653665833	Non chiudere o sospendere il gioco e non spegnere la console Xbox One con quest'icona visualizzata.
1801035418	Non chiudere il gioco con quest'icona visualizzata.
1308428726	Errore durante l'inizializzazione del disco. Per poter giocare devi connettere un dispositivo d'archiviazione.
1459825798	Prova di nuovo
1825071464	L'ultimo salvataggio è danneggiato. Vuoi ricominciare la missione attuale?
906613780	Hai raggiunto il numero massimo di salvataggi. Elimina o sovrascrivi un salvataggio esistente. Attenzione: I salvataggi rapidi non vengono conteggiati.
962072658	Salvataggio... Non chiudere o sospendere il gioco e non spegnere la console Xbox One con quest'icona visualizzata.
1499250081	Salvataggio... Non spegnere il sistema PlayStation®4 con quest'icona visualizzata.
352385758	Salvataggio... Non chiudere il gioco con quest'icona visualizzata.
488026919	Se vuoi acquistare {0} visita il nostro negozio
289232529	Vai su Microsoft Store
1024096936	Vai su PlayStation™Store
1214121497	Installazione contenuto aggiuntivo: {0}%
1657622959	Missione non ancora installata
1609842196	Qualcosa è andato storto durante il caricamento.
1893923580	Qualcosa è andato storto.
1419415249	Disconnesso
1458532162	{0} si è disconnesso, ritorno al menu principale.
1575082279	Utente cambiato
306408042	Passaggio al profilo {0}, ritorno al menu principale.
1429086435	(+{0} in più)
1409730632	Premi un tasto per iniziare
648045773	In attesa di PlayStation™Store
442800743	In attesa di Microsoft Store
128141297	Si è verificato un errore di rete.
681487417	Impostazioni video
1052460126	Impostazioni di gioco
2087751746	Impostazioni audio
25224588	Dati di avvio
1739078801	Configurazione tasti
1649511477	La configurazione tasti personalizzata era danneggiata e verrà sovrascritta con le impostazioni di default.
442535890	Salvataggio danneggiato, la missione verrà riavviata.
830724165	Impostazioni monitoraggio oculare
75518517	Spazio libero insufficiente, libera spazio aggiuntivo per poter salvare la partita.
1883515290	Per una panoramica delle azioni personalizzabili, vai su Opzioni e apri il menu Comandi
181097058	Cambia
2120229012	Premi {0} per caricare l'ultimo salvataggio rapido
1659245168	Premi per caricare
529741173	Capitolo I
213395621	Capitolo II
1849150576	Capitolo III
621937644	DLC
396044400	Statistiche generali
42023172	Finestra replay
1655725184	Tutorial
248132106	Premi {0} per vedere il video tutorial
1280511646	Video tutorial
1247566776	Consigli
939486293	Vedi
943246456	Salva replay
1893463442	Caserma
972756208	Carica replay
1453684936	Eliminare replay? {0}
1850594441	Numero massimo di replay raggiunto!
1788790745	Replay corrotto
1497734632	Attendere...
791830996	Caricamento del replay...
980330027	Non puoi modificarlo durante la partita.
905456972	Modalità difficoltà
90161797	Facile
772446225	Medio
1323360165	Difficile
773723552	Sfide
2031709440	Sfida del Barone
742750455	GIOCO
1072918770	Vibrazione
