English	英語
German	ドイツ語
Chinese	中国語
French	フランス語
Italian	イタリア語
Spanish	スペイン語
Russian	ロシア語
Korean	韓国語
Polish	ポーランド語
Japanese	日本語
Portuguese	ポルトガル語(BR)

1603078355	
663543378	
574096615	
789341352	
1091142676	
1135000294	
1873777461	
941720566	
1934154351	
2029272716	
1576341048	
1421448555	
69348585	
2010793256	
1006924099	
1080858096	
1994417064	
1864776957	
476223141	
755438217	
364741177	
1634278010	
370963810	
2004505788	
995441901	
715430043	
530774733	
1089572441	キャラクターを選択
326908463	キャラクターの選択を外す
1593035469	全てのキャラクターを選択
720952508	全てのキャラクターの選択を外す
8814543	上る
1707401394	拾う
1228448906	体を隠す
974031510	下にジャンプ
1570316501	ジャンプ
1281200264	装備を持っていない
1661399895	下ろす
1970208064	狙う
332063575	スキルを使う
1642445805	スキルを切替
979623826	マーカーを設置
1371401178	マーカーを削除
14277674	ビューコーンを切替
1007288526	アクションを切替
760226682	プランを実行
623490031	クエストログ
1137813917	一時停止
341979071	続行
1020053951	クイックセーブ
1985431665	ウェイポイントを作成
1985552838	プランをリセット
735890781	キャンセル
45909301	キャラクターのひとりが死亡しました。
1126684877	ジェームズ・クーパーが死亡しました。
1767301141	ケイトがオフィスに向かう道中で捕まりました。
632606750	ミッションターゲットの一人が死亡しました。
1173441287	ミッション目標を達成することができません。
1804249882	ダイナマイトがないためオブジェクトを除去できません。
1239789683	全ターゲットを同時に排除する必要があります。
1820626305	「ふんっ、小賢しい奴だね。ざまあみな！」- イザベル
729436862	カメラをリセット
2004899354	カメラ
1848829029	なし
1616150760	使用
417700520	キル
575344989	撃つ
964636690	このセーブゲームを上書きしますか？
454694763	ミッションをリスタートしますか？ セーブされていない進行状況は全て失われます。
1410384205	ミッションを終了しますか？ セーブされていない進行状況は全て失われます。
426906539	選択したセーブゲームをロード
1455108595	新規のセーブゲームを作成
537819092	クリアタイム：
1033428211	セーブ回数：
1389622243	ロード回数：
876575705	キルした敵の数：
663721942	見逃した敵の数：
1332746099	キルした民間人数：
1918849677	負傷回数：
341645269	敵に気付かれた回数：
1712271163	発見された体の数：
1445260513	警戒回数：
2046070127	最多キル：
1305585010	最多デス：
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0}秒
1003502670	統計
1350143852	キャラクター
1519278145	キル：
1771961771	タイム：
1898824317	メニュー
1808595989	クイックセーブ
316165492	クイックロード
553774258	スキップ{0}
763728597	スキップ
1607540763	ゲームオーバー
134572073	ミッション情報
684574630	ヒント
15174608	会話ログ
1690935143	バッジ
534458022	回転
1172304687	ズーム
472536070	メニューに戻る
2007793874	対決
1552845124	目標
2129578386	視界
45086762	入る
650614824	押す
1006693641	出る
1012474485	盗む
824126935	切る
960256102	運ぶ
955889983	投げる
1136054151	キル
2009903160	ノックアウト
404800528	未解除
98960900	未獲得のバッジはミッション初回プレイ時には表示されません。
143561912	{0}（長押し）
1031727861	センター視点
1317422898	出口を変更
1574346156	統計
268313053	バッジ
760608755	ミッション達成
1677804019	新ヒント！ {0}
47952872	目標更新！ {0}
171506482	陽動
1117636783	囮
525698574	難易度モード：
1482292128	難易度：
2001539196	早送り
2074698804	単独実行
1029285209	使用セーブ数{0}/{1}
1680649526	セーブゲームがありません！
422895194	ジャンプキル
617453	ジャンプスタン
2127570168	{0}を押してスキルを切替
789822849	続行
901096514	実行
60305594	ダイブ
2000969630	縛る
635175699	最終セーブ：
225439770	チュートリアル
61553626	概要
1564195777	ノックアウト
2066401617	回復
1669220735	キャラクターを変更
455511559	キャンセル：{0}
294017721	実行：{0}
1622650625	戻る
1770561895	はい
2074094913	いいえ
1895473994	警告！
1616262428	全てリセット
1751646158	{0}を押してスタート
1417345817	続行
540295136	ロード
1718974128	オプション
2095129783	ミッション選択
921695462	DLC
722272055	オン
1880743921	オフ
148167890	2×
751714715	4×
723357853	8×
1205484016	バッジ
282651035	はい
520483897	いいえ
727564207	プレイ
614197672	セーブ
1886644729	メインメニュー
256619881	一時停止
327085024	クイックリスト
1630446124	{0}今日
499301031	{0}分前
1535055933	{0}分{1}秒前
375658126	上書き
919197944	ロード
1273710227	ゲームを終了
1261996133	リスタート
1680915354	デスクトップに戻りますか？
1228739812	クイックロード
1162764950	カットシーン
1225642196	もう一度カットシーンを見ますか？
1718054198	クイックセーブ
234100204	セーブ
753130424	ニューゲーム
1238399001	決定
1063145121	ニューゲームを開始しますか？
1171586678	削除
620746292	セーブゲームを削除しますか？ {0}
66585026	OK
102014301	次
48274808	閉じる
1637075804	情報
871894210	非表示
299223502	ミッション失敗
534861306	ロードするファイルを選択
1609646037	セーブゲームをロードしますか？
431050512	セーブエラー
1338371785	セーブ中に問題が発生しました。
50685828	ロード中
462364397	セーブ中
1753630574	別のゲーム
1920816122	前
1031410729	適用
595402552	ボイス言語を選択
1894310156	会話の言語を選択してください。この設定はオプションメニューでいつでも変更できます。
1139064368	字幕の表示
430465293	字幕を表示しますか？ 字幕の詳細設定はオプションメニューで調整できます。
1175167657	設定が変更されました。変更を適用しますか？
1937172350	このセーブゲームは別のレベルで作成されています。ロードすると現在のレベルが終了されます。セーブしていない進行状況は全て失われます！ 続行しますか？
469052433	コントローラーの接続が切断されました
495479490	ワイヤレスコントローラーの接続が切断されました
1024292908	コントローラーを再度接続するか、接続済みの別のコントローラーで{0}を押してください。
2114202035	ワイヤレスコントローラーを再度接続するか、接続済みの別のワイヤレスコントローラーを使用してアプリケーションを起動したユーザーに変更してください。
1726656013	ユーザーのセーブデータをロード中
604825608	セーブゲームが破損
1072627118	ロードしようとしたファイルが破損しているため、デフォルトの設定で上書きされます。
1810121494	ユーザーデータファイルが破損しています。データは復旧が可能です。
901336057	ユーザーデータファイルが破損しており、復旧することはできません。ユーザーデータはデフォルトにリセットされます。
2074534947	ユーザーデータ
1564185545	ディスクスペースに十分な空き容量がありません。ゲームをセーブするには空き容量を確保してください。
208516596	破損
1080011117	ユーザーの変更
1615693186	このシンボルが表示されている間は、PlayStation®4本体の電源を切らないでください。
653665833	このシンボルが表示されている間は、ゲームを終了または停止したり、Xbox One コンソールの電源を切らないでください。
1801035418	このシンボルが表示されている間は、ゲームを終了しないでください。
1308428726	ストレージの初期化に失敗しました。プレイするには、接続されたストレージが必要です。
1459825798	もう一度試す
1825071464	最終のセーブゲームは非推奨であるか破損しています。現在のミッションをリスタートしますか？
906613780	セーブゲームが最大数に達しています。既存のセーブゲームを削除するか上書きしてください。注：クイックセーブはセーブ数にカウントされません。
962072658	セーブ中：このシンボルが表示されている間は、ゲームを終了または停止したり、Xbox One コンソールの電源を切らないでください。
1499250081	セーブ中：このシンボルが表示されている間は、PlayStation®4本体の電源を切らないでください。
352385758	セーブ中：このシンボルが表示されている間は、ゲームを終了しないでください。
488026919	{0}を購入したい場合は、ストアページにアクセスしてください。
289232529	Microsoft Storeに移動する
1024096936	PlayStation™Storeに移動する
1214121497	追加コンテンツをインストール中：{0}％
1657622959	ミッションはまだインストールされていません
1609842196	ロード中に何らかの問題が発生しました。
1893923580	申し訳ございません。何らかの問題が発生しました。
1419415249	サインアウト
1458532162	{0}がサインアウトしました。メインメニューに戻ります。
1575082279	ユーザーが変更されました
306408042	プロフィール{0}に変更されました。メインメニューに戻ります。
1429086435	（{0}以上）
1409730632	任意のキーを押してスタート
648045773	PlayStation®Storeの待機中
442800743	Microsoft Storeの待機中
128141297	ネットワークに問題が発生しました。
681487417	映像設定
1052460126	ゲームプレイ設定
2087751746	オーディオ設定
25224588	起動データ
