English	angielski
German	niemiecki
Chinese	chiński
French	francuski
Italian	włoski
Spanish	hiszpański
Russian	rosyjski
Korean	koreański
Polish	polski
Japanese	japoński
Portuguese	Portugalski(BR)

1089572441	Zaznacz postać
326908463	Odznacz postać
1593035469	Zaznacz wszystkie postaci
720952508	Odznacz wszystkie postaci
8814543	Wspinaj się
1707401394	Podnieś
1228448906	Ukryj ciało
974031510	Zeskocz
1570316501	Skocz
1281200264	Brak wyposażenia
1661399895	Upuść
1970208064	Celuj
332063575	Użyj zdolności
1642445805	Zamień zdolności
979623826	Umieść znacznik
1371401178	Usuń znacznik
14277674	Wł./wył. pole widzenia
1007288526	Wł./wył. akcję
760226682	Wykonaj plan
623490031	Dziennik zadań
1137813917	Pauza
341979071	Kontynuuj
1020053951	Szybki zapis
1985431665	Utwórz punkt orientacyjny
1985552838	Zresetuj plan
735890781	Anuluj
45909301	Jedna z twoich postaci zginęła.
1126684877	James Cooper zginął.
1767301141	Kate została schwytana w drodze do biura.
632606750	Jeden z celów twojej misji zmarł.
1173441287	Nie możesz wypełnić celu misji.
1804249882	Brak dynamitu. Nie można wykonać celu.
1239789683	Wszystkie cele muszą zginąć w tym samym czasie.
1820626305	„Masz się za mądralę, co? Cóż, żart ci nie wyszedł!” – Isabelle
729436862	Zresetuj kamerę
2004899354	Kamera
1848829029	Brak
1616150760	Użyj
417700520	Zabij
575344989	Strzel
964636690	Nadpisać stan gry?
454694763	Rozpocząć misję ponownie? Niezapisane postępy zostaną utracone.
1410384205	Wyjść z misji? Niezapisane postępy zostaną utracone.
426906539	Wczytaj wybrany zapis gry
1455108595	Stwórz nowy zapis gry
537819092	Czas ukończenia:
1033428211	Liczba zapisów gry:
1389622243	Liczba wczytań gry:
876575705	Zabici wrogowie:
663721942	Oszczędzeni wrogowie:
1332746099	Zabici cywile:
1918849677	Odniesione rany:
341645269	Wykryci gracze:
1712271163	Odkryte ciała:
1445260513	Liczba alarmów:
2046070127	Najwięcej zabójstw:
1305585010	Najwięcej zgonów:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0} s
1003502670	STATYSTYKI
1350143852	POSTACI
1519278145	Zabójstwa:
1771961771	Czas:
1898824317	Menu
1808595989	Szybki zapis
316165492	Szybie wczytanie
553774258	Pomiń {0}
763728597	Pomiń
1607540763	KONIEC GRY
134572073	INFORMACJE O MISJI
684574630	WSKAZÓWKI
15174608	DIALOGI
1690935143	ODZNAKI
534458022	Obróć
1172304687	Przybliż
472536070	WRÓĆ DO MENU
2007793874	Porachunki
1552845124	Cele
2129578386	Widok
45086762	Wejdź
650614824	Popchnij
1006693641	Wyjdź
1012474485	Ukradnij
824126935	Przetnij
960256102	Nieś
955889983	Rzuć
1136054151	Zabij
2009903160	Ogłusz
404800528	Zamknięte
98960900	Niezdobyte odznaki nie są wyświetlane podczas pierwszego podejścia do misji.
143561912	{0} (Przytrzymaj)
1031727861	Wyśrodkuj widok
1317422898	Zmień wyjście
1574346156	Statystyki
268313053	Odznaki
760608755	Misja ukończona
1677804019	Nowa wskazówka! {0}
47952872	Cele zaktualizowane! {0}
171506482	Odwróć uwagę
1117636783	Zwab
525698574	Poziom trudności:
1482292128	Poziom trudności:
2001539196	Przewijanie do przodu
2074698804	Wykonaj pojedynczo
1029285209	Wykorzystane zapisy gry: {0}/{1}
1680649526	Brak zapisów gry!
422895194	Zabójstwo z powietrza
617453	Ogłuszenie z powietrza
2127570168	Naciśnij {0}, by zamienić umiejętności
789822849	Kontynuuj
901096514	Wykonaj
60305594	Nurkuj
2000969630	Zwiąż
635175699	Ostatni zapis:
225439770	SAMOUCZKI
61553626	Podsumowanie
1564195777	Ogłusz
2066401617	Ulecz
1669220735	Zmień postać
455511559	Anuluj: {0}
294017721	Wykonaj: {0}
1622650625	WSTECZ
1770561895	TAK
2074094913	NIE
1895473994	UWAGA!
1616262428	Zresetuj wszystko
1751646158	Naciśnij {0}, by rozpocząć
