English	Английский
German	Немецкий
Chinese	Китайский
French	Французский
Italian	Итальянский
Spanish	Испанский
Russian	Русский
Korean	Корейский
Polish	Польский
Japanese	Японский
Portuguese	Португальский(BR)

1603078355	
663543378	
574096615	
789341352	
1091142676	
1135000294	
1873777461	
941720566	
1934154351	
2029272716	
1576341048	
1421448555	
69348585	
2010793256	
1006924099	
1080858096	
1994417064	
1864776957	
476223141	
755438217	
364741177	
1634278010	
370963810	
2004505788	
995441901	
715430043	
530774733	
1089572441	Выбрать персонажа
326908463	Отменить выбор персонажа
1593035469	Выбрать всех персонажей
720952508	Отменить выбор всех персонажей
8814543	Использовать
1707401394	Взять
1228448906	Спрятать тело
974031510	Спрыгнуть
1570316501	Прыгнуть
1281200264	Нет снаряжения
1661399895	Бросить
1970208064	Прицелиться
332063575	Использовать навык
1642445805	Сменить навык
979623826	Поставить маркер
1371401178	Убрать маркер
14277674	Вкл/выкл. обзор
1007288526	Вкл/выкл. действие
760226682	Исполнить план
623490031	Дневник заданий
1137813917	Пауза
341979071	Продолжить
1020053951	Быстрое сохранение
1985431665	Создать точку маршрута
1985552838	Сбросить план
735890781	Отмена
45909301	Один из ваших персонажей погиб.
1126684877	Джеймс Купер погиб.
1767301141	Кейт схватили по пути в кабинет.
1804249882	Не осталось взрывчатки для выполнения задачи.
1239789683	Все объекты должны умереть одновременно.
1820626305	«Думаешь, что умнее нас, да? Это зря!» – Изабель
729436862	Вернуть камеру в исходное положение
2004899354	Камера
1848829029	Нет
1616150760	Использовать
417700520	Убить
575344989	Выстрелить
964636690	Записать новую игру поверх сохраненной?
454694763	Начать задание с начала? Весь несохраненный прогресс будет потерян.
1410384205	Прервать задание? Весь несохраненный прогресс будет потерян.
426906539	Загрузить выбранное сохранение
1455108595	Создать новое сохранение
537819092	Время выполнения:
1033428211	Отсчет сохранения:
1389622243	Отсчет загрузки:
876575705	Убито врагов:
663721942	Не убито врагов:
1332746099	Убито прохожих:
1918849677	Понесено урона:
341645269	Обнаружены игроки:
1712271163	Обнаружено тел:
1445260513	Поднята тревога:
2046070127	Макс. убийств:
1305585010	Макс. смертей:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0} с
1003502670	СТАТИСТИКА
1350143852	ПЕРСОНАЖИ
1519278145	Убито:
1771961771	Время:
1898824317	Меню
1808595989	Быстрое сохранение
316165492	Быстрая загрузка
553774258	Пропустить {0}
763728597	Пропустить
1607540763	КОНЕЦ ИГРЫ
134572073	СВЕДЕНИЯ О ЗАДАНИИ
684574630	ПОДСКАЗКИ
15174608	ДНЕВНИК ДИАЛОГОВ
1690935143	ЗНАЧКИ
534458022	Вращать
1172304687	Приблизить
472536070	ВЕРНУТЬСЯ В МЕНЮ
2007793874	Побоище
1552845124	Задачи
2129578386	Обзор
45086762	Войти
650614824	Толкнуть
1006693641	Выйти
1012474485	Украсть
824126935	Резать
960256102	Нести
1136054151	Убить
2009903160	Оглушить
404800528	Заперто
98960900	Неполученные значки не показываются при первом прохождении уровня.
143561912	{0} (Удерживать)
1031727861	Камера по центру
1317422898	Сменить выход
1574346156	Статистика
268313053	Значки
1677804019	Новая подсказка! {0}
47952872	Задачи обновлены! {0}
171506482	Отвлечь
1117636783	Заманить
525698574	Уровень сложности:
2001539196	Ускорение
2074698804	Исполнить в одиночку
1029285209	Использовано сохранений: {0}/{1}
1680649526	Нет сохранений!
422895194	Убить в прыжке
617453	Оглушить в пряжке
2127570168	Нажмите {0} для переключения навыков
789822849	Продолжить
901096514	Исполнить
44714549	Макс. (только Гектор)
1351320459	+{0} (только Изабель)
60305594	Нырнуть
2000969630	Связать
635175699	Последнее сохранение:
225439770	ОБУЧЕНИЕ
61553626	Обзор
1564195777	Оглушить
2066401617	Лечить
1669220735	Сменить персонажа
1622650625	НАЗАД
1770561895	ДА
2074094913	НЕТ
1895473994	ОСТОРОЖНО!
1616262428	Сбросить все
1751646158	Нажмите {0}, чтобы начать
1417345817	ПРОДОЛЖИТЬ
540295136	ЗАГРУЗИТЬ
1718974128	НАСТРОЙКИ
2095129783	Выбор задания
921695462	DLC
722272055	Вкл.
1880743921	Выкл.
148167890	2×
751714715	4×
723357853	8×
1205484016	ЗНАЧКИ
282651035	Да
520483897	Нет
727564207	ИГРАТЬ
614197672	СОХРАНИТЬ
1886644729	Главное Меню
256619881	ПАУЗА
327085024	БЫСТРЫЙ СПИСОК
1630446124	{0} сегодня
499301031	{0} мин. назад
1535055933	{0} мин {1} с назад
375658126	ПЕРЕЗАПИСАТЬ
919197944	ЗАГРУЗИТЬ
1273710227	ВЫЙТИ ИЗ ИГРЫ
1261996133	НАЧАТЬ СНАЧАЛА
1680915354	Вернуться на рабочий стол?
1228739812	БЫСТРАЯ ЗАГРУЗКА
1162764950	ВИДЕО
1225642196	Хотите посмотреть видео еще раз?
1718054198	Быстрое сохранение
234100204	Обычное сохранение
753130424	НОВАЯ ИГРА
1238399001	ПОДТВЕРДИТЬ
1063145121	Начать новую игру?
1171586678	УДАЛИТЬ
620746292	Удалить сохранение? {0}
66585026	ДА
102014301	Далее
48274808	Закрыть
1637075804	ИНФОРМАЦИЯ
871894210	СКРЫТЬ
299223502	Задание провалено
534861306	Выберите файл для загрузки
1609646037	Загрузить сохраненную игру?
431050512	Ошибка сохранения
1338371785	При сохранении что-то пошло не так.
50685828	Загрузка
462364397	Сохранение
1753630574	Другие игры
1920816122	Назад
1031410729	Применить
595402552	Выберите язык диалогов
1894310156	Выберите язык, на котором будут звучать диалоги. Выбор можно изменить в любой момент в меню настроек.
1175167657	Параметры изменены. Применить изменения?
1937172350	Это сохранение было создано на другом уровне. Загрузив его, вы покинете текущий уровень. Все несохраненные данные будут утрачены! Продолжить?
469052433	Геймпад отключен
495479490	Беспроводной контроллер отключен
1024292908	Переподключите геймпад или нажмите {0} на другом подключенном геймпаде.
2114202035	Подключите беспроводной контроллер или используйте другой подключенный беспроводной контроллер и переключитесь на пользователя, запустившего приложение.
1726656013	Загрузка пользовательского сохранения
604825608	Сохранение повреждено
1072627118	Файл, который вы пытались загрузить, поврежден. Возвращение к параметрам по умолчанию.
1810121494	Данные пользователя повреждены, но могут быть восстановлены.
901336057	Данные пользователя повреждены и не могут быть восстановлены. Возвращение к параметрам по умолчанию.
2074534947	ДАННЫЕ ПОЛЬЗОВАТЕЛЯ
1564185545	Недостаточно места на диске. Пожалуйста, освободите место для сохранения игры.
208516596	поврежден
1080011117	СМЕНА ПОЛЬЗОВАТЕЛЯ
1615693186	Пожалуйста, не отключайте вашу систему PlayStation®4, когда видите это предупреждение.
653665833	Пожалуйста, не выходите из игры, не приостанавливайте игру и не отключайте вашу консоль Xbox One, когда видите это предупреждение.
1801035418	Пожалуйста, не выходите из игры, когда видите это предупреждение.
1308428726	Ошибка сохранения. Для игры нужно подключить запоминающее устройство.
1459825798	Попробовать еще раз
1825071464	Ваше последнее сохранение устарело или повреждено. Начать текущее задание заново?
906613780	Достигнуто максимальное количество сохранений. Пожалуйста, удалите сохраненный файл или сохраните новые данные поверх старого.
962072658	Идет сохранение: пожалуйста, не выходите из игры, не приостанавливайте игру и не отключайте вашу консоль Xbox One, когда видите это предупреждение.
1499250081	Идет сохранение: пожалуйста, не отключайте вашу систему PlayStation®4, когда видите это предупреждение.
