English	Inglês
German	Alemão
Chinese	Chinês
French	Francês
Italian	Italiano
Spanish	Espanhol
Russian	Russo
Korean	Coreano
Polish	Polonês
Japanese	Japonês

1089572441	Selecionar personagem
326908463	Cancelar seleção de personagem
1593035469	Selecionar todos os personagens
720952508	Cancelar seleção de todos os personagens
8814543		Usar
1707401394	Correr
1228448906	Esconder cadáver
974031510	Pulo baixo
1570316501	Pulo
1281200264	Equipamento que falta
1661399895	Soltar
1970208064	Apontar
332063575	Usar habilidade
1642445805	Trocar habilidade
979623826	Colocar marcador
1371401178	Remover marcador
14277674	Alternar visual do cone
1007288526	Alternar ação
760226682	Executar plano
623490031	Registro de missões
1137813917	Pausar
341979071	Continuar
1020053951	Salvar rápido
1985431665	Criar ponto de controle
1985552838	Reiniciar plano
735890781	Cancelar
45909301	Um de seus personagens morreu.
1126684877	James Cooper morreu.
1767301141	Kate foi capturada a caminho do escritório.
1804249882	Não resta dinamite para destruir o alvo.
729436862	Redefinir câmera
2004899354	Câmera
1848829029	Nenhum
417700520	Matar
575344989	Disparar
964636690	Substituir este jogo salvo?
454694763	Reiniciar a missão? Todo o progresso não salvo será perdido.
1410384205	Sair da missão? Todo o progresso não salvo será perdido.
426906539	Carregar jogo salvo selecionado
1455108595	Criar no jogo salvo
537819092	Tempo de conclusão:
1033428211	Número de jogo salvo:
1389622243	Número de carregamentos:
876575705	Inimigos mortos:
663721942	Inimigos perdoados:
1332746099	Civis mortos:
1918849677	Lesões sofridas:
341645269	Jogadores detectados:
1712271163	Cadáveres descobertos:
1445260513	Número de alarmes:
2046070127	Mais execuções:
1305585010	Mais mortes:
221506391	{0}:{1}:{2}
1223194325	{0}:{1}
1238875375	{0}s
1003502670	ESTATÍSTICAS
1350143852	PERSONAGENS
1519278145	Execuções:
1771961771	Tempo:
1898824317	Menu
1808595989	Salvar rápido
316165492	Carregar rápido
553774258	Pular {0}
763728597	Pular
1607540763	FIM DE JOGO
134572073	OBJETIVOS
684574630	DICAS
15174608	CONVERSAS
1690935143	DISTINTIVOS
534458022	Girar
1172304687	Zoom
472536070	VOLTAR AO MENU
2007793874	Confronto
1552845124	Objetivos
2129578386	Visão
45086762	Entrar
650614824	Empurrar
1006693641	Sair
1012474485	Roubar
824126935	Cortar
960256102	Carregar
1136054151	Matar
2009903160	Derrubar
404800528	Bloqueado
98960900	Distintivos inacabados não são mostrados na primeira vez que uma missão é jogada.
143561912	{0} (Segure)
1031727861	Vista central
1317422898	Alterar saída
1574346156	Estatísticas
268313053	Distintivos
1677804019	Nova dica! {0}
47952872	Objetivos atualizados! {0}
171506482	Distrair
1117636783	Isca
525698574	Modo de dificuldade:
2001539196	Avanço rápido
2074698804	Execução individual
1029285209	{0}/{1} jogo salvo usados
1680649526	Não salvos!
422895194	Matar com salto
617453	Atordoar com o salto
2127570168	Pressione {0} para mudar de habilidade
789822849	Continuar
901096514	Executar
44714549	Cheio (Apenas Hector)
1351320459	+{0} (Apenas Isabelle)
60305594	Mergulho
2000969630	Gravata
635175699	Último jogo salvo:
225439770	TUTORIAIS
61553626	Info. global
1564195777	Derrubar
2066401617	Curar
1669220735	Alterar personagem
1622650625	VOLTAR
1770561895	SIM
2074094913	NÃO
1895473994	ATENÇÃO!
1616262428	Restaurar padrões
1751646158	Pressione {0} para iniciar
1417345817	CONTINUAR
